mA,ma,sintheta,tanbeta,xsec
1200,10,0.7,1,0.001985202000000
1200,50,0.7,1,0.001383506000000
1200,100,0.7,1,0.000939976400000
1200,150,0.7,1,0.000615804400000
1200,200,0.7,1,0.000404253400000
1200,250,0.7,1,0.000267110600000
1200,300,0.7,1,0.000179987500000
1200,350,0.7,1,0.000097714830000
1200,400,0.7,1,0.000049850920000
1200,450,0.7,1,0.000031959570000
1200,500,0.7,1,0.000021597970000
1200,700,0.7,1,0.000006205937000
1200,750,0.7,1,0.000004737801000
1200,1000,0.7,1,0.000001579345000
1200,10,0.7,10,0.179277800000000
1200,50,0.7,10,0.125207400000000
1200,100,0.7,10,0.084109000000000
1200,150,0.7,10,0.055586910000000
1200,200,0.7,10,0.036334210000000
1200,250,0.7,10,0.024045400000000
1200,300,0.7,10,0.016194220000000
1200,350,0.7,10,0.011082250000000
1200,400,0.7,10,0.007687273000000
1200,450,0.7,10,0.005497488000000
1200,500,0.7,10,0.003941846000000
1200,700,0.7,10,0.001225710000000
1200,750,0.7,10,0.000940022900000
1200,1000,0.7,10,0.000347207200000
1200,10,0.7,20,0.554933800000000
1200,50,0.7,20,0.384736900000000
1200,100,0.7,20,0.260347900000000
1200,150,0.7,20,0.171043900000000
1200,200,0.7,20,0.112076700000000
1200,250,0.7,20,0.074090420000000
1200,300,0.7,20,0.049821650000000
1200,350,0.7,20,0.033874200000000
1200,400,0.7,20,0.023729830000000
1200,450,0.7,20,0.016920850000000
1200,500,0.7,20,0.012174450000000
1200,700,0.7,20,0.003802330000000
1200,750,0.7,20,0.002954440000000
1200,1000,0.7,20,0.001074290000000
1200,10,0.7,25,0.742587000000000
1200,50,0.7,25,0.514078600000000
1200,100,0.7,25,0.346420600000000
1200,150,0.7,25,0.227527700000000
1200,200,0.7,25,0.149694500000000
1200,250,0.7,25,0.097648350000000
1200,300,0.7,25,0.066338560000000
1200,350,0.7,25,0.045433310000000
1200,400,0.7,25,0.031719080000000
1200,450,0.7,25,0.022525700000000
1200,500,0.7,25,0.016197360000000
1200,700,0.7,25,0.005089344000000
1200,750,0.7,25,0.003925502000000
1200,1000,0.7,25,0.001427647000000
1200,10,0.7,30,0.910263400000000
1200,50,0.7,30,0.628330300000000
1200,100,0.7,30,0.423509500000000
1200,150,0.7,30,0.276434100000000
1200,200,0.7,30,0.181526800000000
1200,250,0.7,30,0.118930900000000
1200,300,0.7,30,0.080933290000000
1200,350,0.7,30,0.055453970000000
1200,400,0.7,30,0.038654710000000
1200,450,0.7,30,0.027509750000000
1200,500,0.7,30,0.019751030000000
1200,700,0.7,30,0.006228163000000
1200,750,0.7,30,0.004840957000000
1200,1000,0.7,30,0.001716862000000
1200,10,0.7,35,1.059355000000000
1200,50,0.7,35,0.729029200000000
1200,100,0.7,35,0.489628400000000
1200,150,0.7,35,0.319427300000000
1200,200,0.7,35,0.207990900000000
1200,250,0.7,35,0.137311200000000
1200,300,0.7,35,0.092295510000000
1200,350,0.7,35,0.063925430000000
1200,400,0.7,35,0.044634460000000
1200,450,0.7,35,0.031579830000000
1200,500,0.7,35,0.022862130000000
1200,700,0.7,35,0.007163064000000
1200,750,0.7,35,0.005582974000000
1200,1000,0.7,35,0.001938774000000
1200,10,0.7,40,1.185334000000000
1200,50,0.7,40,0.807493000000000
1200,100,0.7,40,0.544381000000000
1200,150,0.7,40,0.352307400000000
1200,200,0.7,40,0.229522400000000
1200,250,0.7,40,0.152291000000000
1200,300,0.7,40,0.101910100000000
1200,350,0.7,40,0.070689440000000
1200,400,0.7,40,0.048824300000000
1200,450,0.7,40,0.035020690000000
1200,500,0.7,40,0.025236570000000
1200,700,0.7,40,0.008044085000000
1200,750,0.7,40,0.006165541000000
1200,1000,0.7,40,0.002108477000000
1200,10,0.7,45,1.292725000000000
1200,50,0.7,45,0.877798500000000
1200,100,0.7,45,0.584765600000000
1200,150,0.7,45,0.380785700000000
1200,200,0.7,45,0.248750300000000
1200,250,0.7,45,0.163668000000000
1200,300,0.7,45,0.109933700000000
1200,350,0.7,45,0.075343830000000
1200,400,0.7,45,0.053070900000000
1200,450,0.7,45,0.037649700000000
1200,500,0.7,45,0.027162400000000
1200,700,0.7,45,0.008565987000000
1200,750,0.7,45,0.006684659000000
1200,1000,0.7,45,0.002204334000000
1200,10,0.7,50,1.388190000000000
1200,50,0.7,50,0.931620100000000
1200,100,0.7,50,0.616657400000000
1200,150,0.7,50,0.401073600000000
1200,200,0.7,50,0.262330300000000
1200,250,0.7,50,0.173402300000000
1200,300,0.7,50,0.116264300000000
1200,350,0.7,50,0.079929460000000
1200,400,0.7,50,0.055826700000000
1200,450,0.7,50,0.040050680000000
1200,500,0.7,50,0.028734390000000
1200,700,0.7,50,0.009082525000000
1200,750,0.7,50,0.007017704000000
1200,1000,0.7,50,0.002270203000000